                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.262,                 1.7921,                 1.2347,                 1.2425,                0.73416,                0.65784,                0.68002,                0.48199,                0.69926,                0.61634,                0.62263,                0.36369,                 1.0826,                 1.4513,                0.86355,                 1.1408,              0.0033322,              0.0033322,              0.0033322
                      1,                 1.0872,                 1.4664,                0.87944,                 1.1366,                0.75827,                0.64779,                0.69707,                0.50004,                0.72154,                0.62874,                0.65119,                0.38226,                 1.0604,                 1.4292,                0.83422,                 1.1352,              0.0066436,              0.0066436,              0.0066436
                      2,                 1.0982,                  1.463,                0.88315,                 1.1488,                  0.724,                0.65857,                0.68103,                0.48658,                0.68265,                0.59513,                0.61732,                0.36994,                 1.0675,                 1.4431,                0.84557,                 1.1609,              0.0099329,              0.0099329,              0.0099329
                      2,                  1.097,                 1.4675,                 0.8893,                  1.147,                0.73708,                0.66869,                0.68858,                0.50416,                0.70941,                0.64662,                 0.6513,                0.39249,                 1.0659,                 1.4284,                0.84328,                 1.1443,              0.0099329,              0.0099329,              0.0099329
                      3,                 1.0839,                 1.4563,                0.86894,                 1.1488,                0.73431,                0.67107,                0.69335,                0.49151,                0.68319,                0.64875,                0.63858,                0.38217,                 1.0529,                   1.41,                0.81093,                   1.15,               0.009901,               0.009901,               0.009901
                      4,                 1.0621,                 1.4382,                0.83553,                   1.14,                0.74159,                0.68377,                0.71431,                0.52367,                0.71053,                0.63694,                0.65752,                0.39523,                 1.0355,                 1.3982,                0.78946,                 1.1478,               0.009901,               0.009901,               0.009901
                      5,                 1.0419,                 1.4228,                0.81338,                  1.132,                0.75526,                0.68594,                0.72136,                0.53489,                 0.7276,                0.65948,                 0.6764,                0.40918,                 1.0295,                 1.3929,                0.76784,                 1.1333,               0.009868,               0.009868,               0.009868
                      6,                 1.0245,                 1.4002,                0.79051,                 1.1225,                0.75882,                 0.6945,                0.72016,                0.51722,                0.73362,                0.66661,                0.67578,                0.39891,                 1.0261,                 1.3824,                0.76047,                 1.1396,               0.009835,               0.009835,               0.009835
                      7,                 1.0174,                 1.3913,                 0.7746,                 1.1178,                0.74039,                0.71933,                0.73178,                0.54186,                0.70118,                   0.68,                0.68027,                0.40845,                 1.0184,                 1.3777,                0.75587,                 1.1303,               0.009802,               0.009802,               0.009802
                      8,                 1.0156,                 1.3968,                0.77937,                  1.118,                0.74153,                0.71103,                0.74445,                0.55399,                0.71709,                0.67588,                0.70333,                  0.428,                 1.0103,                 1.3672,                0.73527,                 1.1298,               0.009769,               0.009769,               0.009769
                      9,                 1.0086,                  1.392,                0.76797,                 1.1154,                0.77838,                0.71342,                0.75774,                0.56605,                0.75068,                0.66923,                0.70655,                0.43456,                 1.0088,                 1.3604,                  0.724,                 1.1227,               0.009736,               0.009736,               0.009736
                     10,                 0.9999,                 1.3836,                0.75901,                  1.113,                0.78862,                0.71157,                0.75146,                0.56812,                0.75816,                0.68401,                0.71109,                0.43712,                 1.0043,                 1.3603,                0.72346,                 1.1204,               0.009703,               0.009703,               0.009703
                     11,                 0.9938,                 1.3789,                0.75029,                 1.1079,                0.78093,                 0.7394,                0.76488,                0.57506,                0.74704,                0.69488,                0.71466,                0.43325,                  1.002,                 1.3534,                 0.7165,                 1.1212,                0.00967,                0.00967,                0.00967
                     12,                0.99406,                 1.3712,                0.74798,                 1.1082,                0.76876,                0.73389,                0.76516,                0.57854,                0.73069,                 0.6996,                0.71611,                0.44111,                0.99454,                 1.3438,                0.71748,                 1.1145,               0.009637,               0.009637,               0.009637
                     13,                 0.9928,                 1.3689,                0.74453,                 1.1062,                0.78553,                0.72933,                0.76198,                0.57986,                0.75938,                0.69246,                 0.7183,                0.44451,                0.99476,                 1.3481,                0.71141,                  1.114,               0.009604,               0.009604,               0.009604
                     14,                0.98352,                 1.3672,                0.73579,                 1.1019,                0.78828,                0.73861,                0.77132,                0.58251,                0.74554,                0.69944,                0.71622,                0.44052,                 0.9956,                 1.3438,                0.70494,                 1.1155,               0.009571,               0.009571,               0.009571
                     15,                0.98225,                 1.3589,                0.73388,                 1.1004,                0.76806,                 0.7413,                0.76613,                0.58126,                0.74703,                0.70881,                  0.728,                0.45014,                 0.9924,                  1.337,                0.69894,                 1.1126,               0.009538,               0.009538,               0.009538
                     16,                 0.9749,                 1.3546,                0.72506,                 1.0964,                0.75399,                0.73096,                0.76116,                 0.5775,                0.72343,                0.70139,                0.72032,                0.44588,                0.99262,                 1.3343,                 0.6974,                 1.1181,               0.009505,               0.009505,               0.009505
                     17,                0.98016,                 1.3577,                0.72946,                    1.1,                0.79143,                0.75499,                0.78224,                0.59176,                0.74674,                0.71961,                 0.7273,                0.44698,                0.98502,                   1.33,                0.69323,                 1.1088,               0.009472,               0.009472,               0.009472
                     18,                0.97907,                 1.3538,                0.72176,                 1.0973,                0.78649,                0.73183,                0.76796,                0.58596,                0.76419,                0.70732,                0.73049,                0.45345,                0.98177,                   1.33,                 0.6897,                 1.1062,               0.009439,               0.009439,               0.009439
                     19,                0.97354,                 1.3508,                0.71794,                 1.0942,                0.80576,                0.73899,                0.77901,                0.59335,                0.77323,                0.70906,                 0.7351,                0.45208,                0.98121,                  1.334,                0.68772,                 1.1083,               0.009406,               0.009406,               0.009406
                     20,                0.97224,                 1.3456,                0.71382,                 1.0965,                0.79505,                0.74452,                0.78306,                0.59983,                0.76226,                0.71247,                0.73863,                0.45948,                0.97885,                 1.3253,                0.68028,                 1.1088,               0.009373,               0.009373,               0.009373
                     21,                0.97208,                 1.3448,                0.71111,                 1.0903,                0.79749,                0.74892,                 0.7854,                0.60054,                0.76748,                0.71677,                0.74313,                 0.4614,                 0.9792,                 1.3224,                0.67268,                 1.1011,                0.00934,                0.00934,                0.00934
                     22,                0.97138,                 1.3426,                0.71034,                 1.0904,                0.79815,                0.74393,                0.78557,                  0.601,                0.76239,                0.71036,                0.73838,                0.45927,                0.97566,                 1.3219,                0.67711,                 1.1032,               0.009307,               0.009307,               0.009307
                     23,                0.96822,                 1.3437,                0.70984,                 1.0912,                0.77489,                0.75087,                0.77449,                0.59613,                0.74767,                0.72197,                  0.737,                0.46121,                0.97394,                  1.323,                0.67643,                 1.1056,               0.009274,               0.009274,               0.009274
                     24,                0.96371,                 1.3422,                0.70479,                 1.0875,                0.78206,                0.74829,                0.78414,                0.60044,                0.75627,                0.71601,                0.74251,                0.46355,                0.97652,                 1.3195,                0.67079,                 1.1028,               0.009241,               0.009241,               0.009241
                     25,                0.96594,                 1.3388,                0.70085,                 1.0863,                0.78508,                0.75237,                0.78143,                0.60261,                0.75636,                0.72695,                0.74145,                0.46292,                0.97296,                 1.3174,                0.67082,                 1.1021,               0.009208,               0.009208,               0.009208
